DATE,PCE,POP,PSAVERT,UEMPMED,UNEMPLOY
4/1/2005,8645.6,275304,3,16.3,8331
5/1/2005,8643.9,275564,3.5,17.1,7915
6/1/2005,8724.8,275836,2.8,17.3,7927
7/1/2005,8829.5,276115,2.2,15.4,7946
8/1/2005,8832.4,276418,2.6,15.9,7933
9/1/2005,8885.8,276714,2.6,15.8,7734
10/1/2005,8926.6,277003,3,15.7,7632
11/1/2005,8938.5,277277,3.5,14.6,7375
12/1/2005,8969.6,277526,3.6,13.8,7230
1/1/2006,9059.8,277790,4.2,13.1,7375
2/1/2006,9090.1,277992,4.2,12.9,7187
3/1/2006,9122.1,278198,4.2,13.4,7153
4/1/2006,9174.8,278451,3.9,13.6,7645
5/1/2006,9215.1,278717,3.7,13,7430
6/1/2006,9240.8,279001,3.9,12.9,7427
7/1/2006,9322.6,279295,3.3,13.2,7527
8/1/2006,9321.8,279602,3.6,12.9,7484
9/1/2006,9354.7,279903,3.5,12,7478
10/1/2006,9373.2,280203,3.5,11.5,7328
11/1/2006,9380.2,280471,3.9,11.6,7426
12/1/2006,9469,280716,3.7,11.8,7423
1/1/2007,9516.3,280976,3.6,10.9,7491
2/1/2007,9546.8,281190,4,11.7,7313
3/1/2007,9585.1,281409,4.3,11.3,7318
4/1/2007,9615.7,281653,4.1,11.3,7415
5/1/2007,9651.3,281877,3.9,11,7423
6/1/2007,9667.3,282126,3.7,11,7095
7/1/2007,9709.6,282385,3.6,11.2,7337
8/1/2007,9753.9,282653,3.3,11.4,6882
9/1/2007,9797.9,282932,3.5,11.4,6979
10/1/2007,9827,283201,3.3,11.2,7031
11/1/2007,9897.8,283453,3.1,10.6,7236
12/1/2007,9908.4,283696,3.5,10.5,7253
1/1/2008,9930,283920,3.7,11.1,7158
2/1/2008,9913.4,284137,4.1,10.7,7102
3/1/2008,9959.4,284350,4,10.1,7000
4/1/2008,9996.8,284581,3.4,10.1,6873
5/1/2008,10053.8,284810,7.8,10.3,6655
6/1/2008,10107.9,285062,5.5,10.7,6799
7/1/2008,10104.7,285309,4.4,10.3,6655
8/1/2008,10094.7,285570,3.8,10.1,6608
9/1/2008,10043.5,285843,4.7,10.4,6656
10/1/2008,9960.3,286098,5.5,10.2,6454
11/1/2008,9820.8,286341,6.5,10.6,6308
12/1/2008,9730.7,286570,6.4,9.8,6476
1/1/2009,9783.8,286788,6.2,10.4,6368
2/1/2009,9766,286994,5.5,10.4,6306
3/1/2009,9718.5,287190,5.9,10.1,6422
4/1/2009,9724.8,287397,6.8,9.7,5941
5/1/2009,9748.9,287623,8.2,9.6,6047
6/1/2009,9806.9,287864,6.7,9.1,6212
7/1/2009,9841.7,288105,6,9.6,6259
8/1/2009,9961,288360,4.9,9.2,6179
9/1/2009,9883.4,288618,5.9,9,6300
10/1/2009,9931.9,288870,5.4,9.9,6280
11/1/2009,9940.5,289106,5.9,9.4,6100
12/1/2009,9998.9,289313,5.9,8.6,6032
1/1/2010,10001.8,289518,6.1,10,5976
2/1/2010,10030.6,289714,5.8,9.3,6111
3/1/2010,10089.1,289911,5.7,9.1,5783
4/1/2010,10112.9,290125,6.4,9.4,6004
5/1/2010,10131,290346,7,8.8,5796
6/1/2010,10151.4,290584,6.9,9.4,5951
7/1/2010,10184.7,290820,6.8,9,6025
8/1/2010,10228.2,291072,6.9,9.4,5838
9/1/2010,10249,291321,6.7,9.5,5915
10/1/2010,10304.7,291574,6.6,9.3,5778
11/1/2010,10354.7,291807,6.6,9.1,5716
12/1/2010,10392.1,292008,7.1,9.4,5653
1/1/2011,10435.5,292192,7.4,9,5708
2/1/2011,10470.1,292368,7.6,9,5858
3/1/2011,10550.5,292561,7,9.4,5733
4/1/2011,10587.6,292779,6.9,9.2,5481
5/1/2011,10612,292997,6.9,9.2,5758
6/1/2011,10636.8,293223,7.2,9,5651
7/1/2011,10677.5,293463,7.2,9.3,5747
8/1/2011,10700.6,293719,7.2,9.1,5853
9/1/2011,10738.1,293971,6.8,7,5625
10/1/2011,10753.1,294230,6.8,2,5534
11/1/2011,10759.5,294466,6.9,7.7,5639
12/1/2011,10772.2,294694,7.8,13.6,5634
1/1/2012,10862.1,294914,8,15,6023
2/1/2012,10953.5,295105,8,16.7,6089
3/1/2012,10951.8,295287,8.5,17.8,6141
4/1/2012,10979.7,295490,8.7,19.3,6271
5/1/2012,10968.6,295704,8.8,18.8,6226
6/1/2012,10946.3,295936,9.1,,6484
7/1/2012,10977.2,296186,8.2,,6583
8/1/2012,11004.1,296440,7.9,,7042
9/1/2012,11061.5,296707,8.2,,7142
10/1/2012,11099.8,296972,8.8,,7694
11/1/2012,11136.8,297207,9.7,,8003
12/1/2012,11140.5,297431,12,,8258
1/1/2013,11202.8,297647,6.3,,8182
2/1/2013,11239.6,297854,5.8,,8215
3/1/2013,11227.1,298060,5.9,,8304
4/1/2013,11205.4,298281,6.4,,8599
5/1/2013,11244.6,298496,6.7,,8399
6/1/2013,11268.8,298739,6.8,,8393
7/1/2013,11296.7,298996,6.6,,8390
8/1/2013,11329.2,299263,6.7,,8304
9/1/2013,11366.9,299554,6.8,,8251
10/1/2013,11419.8,299835,6.2,,8307
11/1/2013,11487.6,300094,6.1,,8520
12/1/2013,11517.9,300340,6.4,,8640
1/1/2014,11503.7,300574,7.1,,8520
2/1/2014,11574.5,300802,7.1,,8618
3/1/2014,11644.5,301021,7.2,,8588
4/1/2014,11707.1,301254,7.2,,8842
5/1/2014,11750.9,301483,7.4,,8957
6/1/2014,11812.7,301739,7.5,,9266
7/1/2014,11858.1,302004,7.5,,9011
8/1/2014,11939.1,302267,7.3,,8896
9/1/2014,11948.8,302546,7.5,,8921
10/1/2014,12018.4,302807,7.3,,8732
11/1/2014,12050.2,303054,7.4,,8576
12/1/2014,12065,303287,7.7,,8317
1/1/2015,12046.1,303506,8.1,,8370
2/1/2015,12098.3,303711,8.2,,8167
3/1/2015,12152.8,303907,7.7,,8491
4/1/2015,12196.3,304117,7.6,,8170
5/1/2015,12264.5,304323,7.5,,8212
6/1/2015,12305.8,304556,7.4,,8286
7/1/2015,12366.1,304798,7.3,,8136
8/1/2015,12400.9,305045,7.3,,7990
9/1/2015,12400.9,305309,7.4,,7927
10/1/2015,12409.3,305554,7.5,,8061
11/1/2015,12446.3,305786,7.2,,7932
12/1/2015,12482.4,306004,7.3,,7934
1/1/2016,12506,306208,7.6,,7784
2/1/2016,12579.3,306402,7.2,,7980
3/1/2016,12569.7,306588,7.5,,7737
4/1/2016,12649.4,306787,7.1,,7672
5/1/2016,12696.1,306984,6.9,,7651
6/1/2016,12777,307206,6.5,,7524
7/1/2016,12794.2,307439,6.7,,7406
8/1/2016,12836,307685,6.6,,7345
9/1/2016,12893.2,307946,6.6,,7553
10/1/2016,12922.7,308189,6.8,,7453
11/1/2016,12957.8,308418,6.7,,7566
12/1/2016,13058,308633,6.4,,7279
1/1/2017,13122.2,308833,6.7,,7064
2/1/2017,13140.9,309027,7,,7184
3/1/2017,13196.5,309212,7,,7072
4/1/2017,13222.2,309191.211,7.1,,7120
5/1/2017,13225.7,309367.58,7.6,,6980
6/1/2017,13275.9,309545.555,7.4,,7001
7/1/2017,13301.3,309741.279,7.5,,7175
8/1/2017,13344.5,309951.795,7.6,,7091
9/1/2017,13466.9,310168.926,7.3,,6847
10/1/2017,13503.5,310390.859,7.4,,6727
11/1/2017,13593.7,310585.106,7,,6872
12/1/2017,13690.9,310769.486,6.6,,6762
1/1/2018,13716.5,310946.962,7.5,,7116
2/1/2018,13738.4,311098.039,7.8,,6927
3/1/2018,13811.8,311248.506,7.8,,6731
4/1/2018,13875.8,311417.782,7.7,,6850
5/1/2018,13953.7,311587.063,7.7,,6766
6/1/2018,13990.1,311769.648,7.9,,6979
7/1/2018,14048.3,311973.914,7.9,,7149
8/1/2018,14102.2,312180.558,7.8,,7067
9/1/2018,14108.3,312402.633,7.9,,7170
10/1/2018,14193.8,312616.001,7.6,,7237
11/1/2018,14249.7,312799.689,7.4,,7240
12/1/2018,14130.8,312978.205,9.1,,7645
1/1/2019,14223.7,313149.997,8.5,,7685
2/1/2019,14236.1,313304.12,8.6,,7497
3/1/2019,14370,313462.838,8,,7822
4/1/2019,14443.2,313628.923,7.5,,7637
5/1/2019,14493,313790.652,7.3,,8395
6/1/2019,14555.8,313976.041,7.1,,8575
7/1/2019,14611.9,314167.558,7,,8937
8/1/2019,14650.9,314377.381,7.3,,9438
9/1/2019,14673.2,314600.057,7.3,,9494
10/1/2019,14728.5,314805.556,7.2,,10074
11/1/2019,14752.8,315003.708,7.5,,10538
12/1/2019,14796.3,315180.866,7.2,,11286
1/1/2020,14880.5,315335.976,7.6,,12058
2/1/2020,14877.4,315464.793,8.3,,12898
3/1/2020,13878.5,315605.141,12.9,,13426
4/1/2020,12112.1,315759.039,33.7,,13853
5/1/2020,13165.4,315923.105,24.7,,14499
6/1/2020,14014.6,316108.76,19,,14707
7/1/2020,14218.8,316294.766,18.6,,14601
8/1/2020,14394.1,316514.531,15.1,,14814
9/1/2020,14569.6,316738.543,14.6,,15009
10/1/2020,14640.5,316952.905,13.6,,15352
